pos_prompt,neg_prompt
The sky turned pink at sunset,The sky was a clear blue
She wore a pink dress,He wore a green jacket
The flowers were a lovely shade of pink,The sun set in a fiery orange glow
He bought a pink bicycle,She had a red bag
The walls were painted pink,The car was painted yellow
We sipped on pink lemonade,The ocean was a deep blue
Her nails were painted pink,The grass was a vibrant green
The candy was wrapped in pink paper,The apple was bright red
The cupcake had pink frosting,The butterfly had blue wings
She tied her hair with a pink ribbon,The gift was wrapped in purple paper
The room was decorated in pink,The house had a yellow door
The sunrise cast a pink glow,He wore a brown hat
She has a pink backpack,She walked on white sand
The baby's blanket was pink,The walls were a pale yellow
The cat has a pink collar,His shirt was a soft blue
She loves pink roses,The tree had golden leaves
Pink balloons filled the room,The dress was a rich burgundy
The mural featured pink hues,The bicycle was a bright red
The scarf was a light pink,The cat had golden eyes
Her favorite color is pink,The sky turned a soft orange at dawn
The drink had a pink hue,Her hair had silver streaks
The artist used pink paint,The book had a green cover
The sky was pink in the morning,The car had a glossy black finish
The logo was pink and white,The baby wore a white hat
The dress had pink polka dots,The rose was a deep red
Pink flamingos in the yard,The painting used bold blue strokes
He sent her pink tulips,The sky was a soft lavender
The earrings were pink,The vase was a beautiful turquoise
The phone case was pink,The rainbow had vibrant colors
The cake had pink layers,The horse had a sleek black mane
The sunset had pink streaks,His eyes were a piercing green
She wore pink socks,The sunset painted the sky orange
His shirt was a pale pink,The boat had white sails
The room had pink curtains,The blanket was a warm beige
The notebook cover was pink,The cliffs were a striking red
A pink sunset over the ocean,The river was a cool blue
She carried a pink purse,The bird had a yellow beak
The shoes were pink and sparkly,The building was painted white
The pillow was pink and fluffy,The flower was a delicate purple
The card had pink hearts,The dress had silver sequins
The cheetah had pink spots,The sky was a stormy gray
Pink streamers hung from the ceiling,The butterfly had a yellow pattern
She danced in pink shoes,The bread had a golden crust
Pink flowers blossomed in the garden,The snow was pure white
Pink clouds in the evening sky,The sign was bright red
The boat had a pink sail,The fire burned orange and yellow
Wet pink sand on the shore,The leaves turned red in the fall
The bicycle had pink tires,The sofa was a deep green
The dress had a pink bow,The starry night was a dark blue
Pink candles on the cake,The scarf was a vibrant orange
She wore pink glasses,The garden was full of green plants
Pink confetti floated down,The truck was a bright blue
He handed her a pink rose,The cake was decorated with purple icing
The bird had pink feathers,The eggplant was a dark purple
The car was a bright pink,The river flowed green with algae
The walls were light pink,The sand was a pale yellow
Pink lace trimmed her dress,The bike had black tires
Pink neon lights illuminated the sign,The kitten had white fur
The doll had a pink outfit,The sunset was purple
Her nails were pink and shiny,The hills were covered in yellow flowers
Pink blossoms on the tree,He wore gray trousers
The blanket was soft pink,The fabric was a rich teal
She wore a pink bracelet,The sky was a crystal clear blue
The lamp had a pink shade,The leaves were a bright green
Her hair had pink highlights,The candle burned a soft white
The restaurant had pink chairs,The car was a striking red
Pink wildflowers on the hillside,Her dress was a royal blue
The cupcakes had pink sprinkles,The autumn leaves were orange and red
Pink envelopes for the invitations,The sky at dusk was a deep blue
She had a pink water bottle,The cat's fur was a creamy beige
The unicorn was pink,She carried a turquoise tote
Pink erasers in her pencil case,The lake reflected the blue sky
The gift was wrapped in pink,The fox had a bright red coat
A field of pink tulips,The chair was painted yellow
The party had a pink theme,The sunset bathed the town in gold
Pink lipstick on her lips,The grapes were a dark purple
Pink rubber boots in the rain,The bus was painted green
The tiger had a pink nose,The statue had a bronze color
The fairy wings were pink,The clouds were a fluffy white
Pink curtains in the bedroom,The walls were a soothing blue
The cake was pink with white icing,The car had a metallic silver finish
He wore a pink tie,The envelope was a striking red
Pink snowflakes in her drawing,The bird had a bright blue beak
Pink pearls in her necklace,The sky was a dusky purple
Pink patches on her quilt,The beach sand was a golden brown
She chose pink for her bridesmaids,Her eyes sparkled a bright green
The baby’s room was pink,The door was a solid oak brown
Pink dolphins swim in the river,The flower petals were a bright yellow
The hat had a pink bow,The room was painted a deep red
Pink seats in the theater,The sky lit up with red and orange hues
The butterfly had pink wings,She wore a lavender scarf
Pink embroidery on the blanket,The tiles were a glossy black
The fish had pink scales,His journal had a red leather cover
Pink lights on the Christmas tree,The fruit basket was full of orange and green
The sofa was pink,The pond had a turquoise tint
Pink glitter on the poster,The hill was covered in white snow
Pink stripes on the wallpaper,The car was a shiny maroon
The stadium seats were pink,The dress was a soft lilac
Her dress had pink sequins,The sun dipped below the horizon in a blend of gold and orange
Pink roses adorned the table,"The trees were a dark, rich green"
